name,smiles,cls,series,series_index,n_carbons,molecular_weight,formula,n_tokens,n_tokens_final,multiword,canonical_smiles,formula_truth,formula_got,formula_raw,class_raw,formula_ok,class_picked,class_acceptable,class_ok
coumarin,O=c1ccc2ccccc2o1,aromatic,,,9,146.14499999999998,C9H6O2,3,3,False,O=c1ccc2ccccc2o1,C9H6O2,C9H6O2,C9H6O2,L,True,aromatic,aromatic,True
chromone,O=c1ccoc2ccccc12,aromatic,,,9,146.14499999999998,C9H6O2,2,2,False,O=c1ccoc2ccccc12,C9H6O2,C9H6O2,C9H6O2,L,True,aromatic,aromatic,True
flavone,O=c1cc(-c2ccccc2)oc2ccccc12,aromatic,,,15,222.243,C15H10O2,2,2,False,O=c1cc(-c2ccccc2)oc2ccccc12,C15H10O2,C15H10O2,C15H10O2,L,True,aromatic,aromatic,True
isatin,O=C1Nc2ccccc2C1=O,aromatic,,,8,147.13299999999995,C8H5NO2,2,2,False,O=C1Nc2ccccc2C1=O,C8H5NO2,C8H5NO2,C8H5NO2,J,True,amide,"amide,aromatic,ketone",True
benzamide,NC(=O)c1ccccc1,aromatic,,,7,121.13899999999995,C7H7NO,2,2,False,NC(=O)c1ccccc1,C7H7NO,C7H7NO,C7H7NO,J,True,amide,"amide,aromatic",True
chloroform,ClC(Cl)Cl,halide,,,1,119.378,CHCl3,3,3,False,ClC(Cl)Cl,CHCl3,CHCl₃,CHCl₃,M,True,halide,halide,True
vinyl chloride,C=CCl,halide,,,2,62.499,C2H3Cl,2,1,True,C=CCl,C2H3Cl,C2H3Cl,C2H3Cl,B,True,alkene,"alkene,halide",True
allyl chloride,C=CCCl,halide,,,3,76.526,C3H5Cl,3,1,True,C=CCCl,C3H5Cl,C3H5Cl,C3H5Cl,M,True,halide,"alkene,halide",True
benzyl chloride,ClCc1ccccc1,halide,,,7,126.58599999999996,C7H7Cl,3,1,True,ClCc1ccccc1,C7H7Cl,C6H5CH2Cl,C6H5CH2Cl,M,True,halide,"aromatic,halide",True
methylene chloride,ClCCl,halide,,,1,84.93299999999999,CH2Cl2,3,1,True,ClCCl,CH2Cl2,CH2Cl2,CH2Cl2,M,True,halide,halide,True
bromoform,BrC(Br)Br,halide,,,1,252.731,CHBr3,3,3,False,BrC(Br)Br,CHBr3,CHBr₃,CHBr₃,M,True,halide,halide,True
iodoform,IC(I)I,halide,,,1,393.731,CHI3,3,3,False,IC(I)I,CHI3,CHI3,CHI3,M,True,halide,halide,True
oxalic acid,OC(=O)C(O)=O,carboxylic_acid,,,2,90.03399999999999,C2H2O4,3,1,True,O=C(O)C(=O)O,C2H2O4,C2H2O4,C2H2O4,G,True,carboxylic acid,carboxylic acid,True
succinic acid,OC(=O)CCC(O)=O,carboxylic_acid,,,4,118.088,C4H6O4,3,1,True,O=C(O)CCC(=O)O,C4H6O4,C4H6O4,C4H6O4,G,True,carboxylic acid,carboxylic acid,True
glutaric acid,OC(=O)CCCC(O)=O,carboxylic_acid,,,5,132.115,C5H8O4,4,1,True,O=C(O)CCCC(=O)O,C5H8O4,C5H8O4,C5H8O4,G,True,carboxylic acid,carboxylic acid,True
adipic acid,OC(=O)CCCCC(O)=O,carboxylic_acid,,,6,146.14200000000002,C6H10O4,3,1,True,O=C(O)CCCCC(=O)O,C6H10O4,C6H10O4,C6H10O4,G,True,carboxylic acid,carboxylic acid,True
lactic acid,CC(O)C(O)=O,carboxylic_acid,,,3,90.078,C3H6O3,3,1,True,CC(O)C(=O)O,C3H6O3,C3H6O3,C3H6O3,G,True,carboxylic acid,"alcohol,carboxylic acid",True
citric acid,OC(=O)CC(O)(CC(O)=O)C(O)=O,carboxylic_acid,,,6,192.123,C6H8O7,3,1,True,O=C(O)CC(O)(CC(=O)O)C(=O)O,C6H8O7,C6H8O7,C6H8O7,G,True,carboxylic acid,"alcohol,carboxylic acid",True
malic acid,OC(=O)CC(O)C(O)=O,carboxylic_acid,,,4,134.087,C4H6O5,3,1,True,O=C(O)CC(O)C(=O)O,C4H6O5,C4H6O5,C4H6O5,G,True,carboxylic acid,"alcohol,carboxylic acid",True
tartaric acid,OC(=O)C(O)C(O)C(O)=O,carboxylic_acid,,,4,150.08599999999998,C4H6O6,4,1,True,O=C(O)C(O)C(O)C(=O)O,C4H6O6,C4H6O6,C4H6O6,G,True,carboxylic acid,"alcohol,carboxylic acid",True
acrylic acid,C=CC(O)=O,carboxylic_acid,,,3,72.063,C3H4O2,2,1,True,C=CC(=O)O,C3H4O2,C3H4O2,C3H4O2,G,True,carboxylic acid,"alkene,carboxylic acid",True
oleic acid,CCCCCCCCC=CCCCCCCCC(O)=O,carboxylic_acid,,,18,282.4679999999999,C18H34O2,3,1,True,CCCCCCCCC=CCCCCCCCC(=O)O,C18H34O2,C18H34O2,C18H34O2,G,True,carboxylic acid,"alkene,carboxylic acid",True
palmitic acid,CCCCCCCCCCCCCCCC(O)=O,carboxylic_acid,,,16,256.42999999999995,C16H32O2,4,1,True,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,C16H32O2,C16H32O2,G,True,carboxylic acid,carboxylic acid,True
lauric acid,CCCCCCCCCCCC(O)=O,carboxylic_acid,,,12,200.322,C12H24O2,4,1,True,CCCCCCCCCCCC(=O)O,C12H24O2,C12H24O2,C12H24O2,G,True,carboxylic acid,carboxylic acid,True
myristic acid,CCCCCCCCCCCCCC(O)=O,carboxylic_acid,,,14,228.37599999999995,C14H28O2,4,1,True,CCCCCCCCCCCCCC(=O)O,C14H28O2,C14H28O2,C14H28O2,G,True,carboxylic acid,carboxylic acid,True
glycolic acid,OCC(O)=O,carboxylic_acid,,,2,76.051,C2H4O3,4,1,True,O=C(O)CO,C2H4O3,C2H4O3,C2H4O3,G,True,carboxylic acid,"alcohol,carboxylic acid",True
pyruvic acid,CC(=O)C(O)=O,carboxylic_acid,,,3,88.06199999999998,C3H4O3,4,1,True,CC(=O)C(=O)O,C3H4O3,C3H4O3,C3H4O3,G,True,carboxylic acid,carboxylic acid,True
fumaric acid,OC(=O)/C=C/C(O)=O,carboxylic_acid,,,4,116.072,C4H4O4,4,1,True,O=C(O)/C=C/C(=O)O,C4H4O4,C4H4O4,C4H4O4,G,True,carboxylic acid,"alkene,carboxylic acid",True
cinnamic acid,OC(=O)/C=C/c1ccccc1,carboxylic_acid,,,9,148.161,C9H8O2,4,1,True,O=C(O)/C=C/c1ccccc1,C9H8O2,C9H8O2,C9H8O2,G,True,carboxylic acid,"alkene,aromatic,carboxylic acid",True
phthalic acid,OC(=O)c1ccccc1C(O)=O,carboxylic_acid,,,8,166.13199999999998,C8H6O4,4,1,True,O=C(O)c1ccccc1C(=O)O,C8H6O4,C8H6O4,C8H6O4,G,True,carboxylic acid,"aromatic,carboxylic acid",True
isophthalic acid,OC(=O)c1cccc(C(O)=O)c1,carboxylic_acid,,,8,166.13199999999998,C8H6O4,5,1,True,O=C(O)c1cccc(C(=O)O)c1,C8H6O4,C8H6O4,C8H6O4,G,True,carboxylic acid,"aromatic,carboxylic acid",True
gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,carboxylic_acid,,,7,170.11999999999998,C7H6O5,3,1,True,O=C(O)c1cc(O)c(O)c(O)c1,C7H6O5,C7H6O5,C7H6O5,G,True,carboxylic acid,"alcohol,aromatic,carboxylic acid",True
ferulic acid,COc1cc(/C=C/C(O)=O)ccc1O,carboxylic_acid,,,10,194.186,C10H10O4,4,1,True,COc1cc(/C=C/C(=O)O)ccc1O,C10H10O4,C10H10O4,C10H10O4,G,True,carboxylic acid,"alcohol,alkene,aromatic,carboxylic acid,ether",True
levulinic acid,CC(=O)CCC(O)=O,carboxylic_acid,,,5,116.116,C5H8O3,4,1,True,CC(=O)CCC(=O)O,C5H8O3,C5H8O3,C5H8O3,G,True,carboxylic acid,carboxylic acid,True
azelaic acid,OC(=O)CCCCCCCC(O)=O,carboxylic_acid,,,9,188.223,C9H16O4,4,1,True,O=C(O)CCCCCCCC(=O)O,C9H16O4,C9H16O4,C9H16O4,G,True,carboxylic acid,carboxylic acid,True
sebacic acid,OC(=O)CCCCCCCCC(O)=O,carboxylic_acid,,,10,202.25,C10H18O4,4,1,True,O=C(O)CCCCCCCCC(=O)O,C10H18O4,C10H18O4,C10H18O4,G,True,carboxylic acid,carboxylic acid,True
suberic acid,OC(=O)CCCCCCC(O)=O,carboxylic_acid,,,8,174.196,C8H14O4,3,1,True,O=C(O)CCCCCCC(=O)O,C8H14O4,C8H14O4,C8H14O4,G,True,carboxylic acid,carboxylic acid,True
orotic acid,OC(=O)c1cc(=O)[nH]c(=O)[nH]1,carboxylic_acid,,,5,156.097,C5H4N2O4,3,1,True,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,C5H4N2O4,C5H4N2O4,C5H4N2O4,G,True,carboxylic acid,"aromatic,carboxylic acid",True
carbon dioxide,O=C=O,inorganic,,,1,44.009,CO2,2,1,True,O=C=O,CO2,CO2,CO2,N,True,inorganic,inorganic,True
carbon monoxide,[C-]#[O+],inorganic,,,1,28.01,CO,3,2,True,[C-]#[O+],CO,CO,CO,N,True,inorganic,inorganic,True
sulfuric acid,OS(=O)(=O)O,inorganic,,,0,98.07899999999998,H2O4S,3,1,True,O=S(=O)(O)O,H2O4S,H2SO4,H2SO4,N,True,inorganic,inorganic,True
hydrogen peroxide,OO,inorganic,,,0,34.014,H2O2,3,2,True,OO,H2O2,H2O2,H2O2,N,True,inorganic,inorganic,True
ozone,[O-][O+]=O,inorganic,,,0,47.997,O3,1,1,False,O=[O+][O-],O3,O3,O3,N,True,inorganic,inorganic,True
sulfur dioxide,O=S=O,inorganic,,,0,64.065,O2S,2,1,True,O=S=O,O2S,SO2,SO2,N,True,inorganic,inorganic,True
nitrous oxide,[N-]=[N+]=O,inorganic,,,0,44.013,N2O,3,1,True,[N-]=[N+]=O,N2O,N2O,N2O,N,True,inorganic,inorganic,True
hydrogen sulfide,S,inorganic,,,0,34.083,H2S,3,2,True,S,H2S,H2S,H2S,N,True,inorganic,inorganic,True
phosphoric acid,OP(O)(O)=O,inorganic,,,0,97.994,H3O4P,3,1,True,O=P(O)(O)O,H3O4P,H3PO4,H3PO4,N,True,inorganic,inorganic,True
calcium carbonate,[Ca+2].[O-]C([O-])=O,inorganic,,,1,100.086,CCaO3,2,1,True,O=C([O-])[O-].[Ca+2],CCaO3,CaCO3,CaCO3,N,True,inorganic,inorganic,True
glucose,OCC1OC(O)C(O)C(O)C1O,other,,,6,180.156,C6H12O6,1,1,False,OCC1OC(O)C(O)C(O)C1O,C6H12O6,C6H12O6,C6H12O6,D,True,alcohol,"alcohol,ether",True
caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,other,,,8,194.194,C8H10N4O2,1,1,False,Cn1c(=O)c2c(ncn2C)n(C)c1=O,C8H10N4O2,C8H10N4O2,C8H10N4O2,L,True,aromatic,"amine,aromatic",True
nicotine,CN1CCCC1c1cccnc1,other,,,10,162.236,C10H14N2,1,1,False,CN1CCCC1c1cccnc1,C10H14N2,C10H14N2,C10H14N2,K,True,amine,"amine,aromatic",True
urea,NC(N)=O,other,,,1,60.056,CH4N2O,2,2,False,NC(N)=O,CH4N2O,CO(NH2)2,CO(NH2)2,J,True,amide,amide,True
dioxane,C1COCCO1,other,,,4,88.106,C4H8O2,3,3,False,C1COCCO1,C4H8O2,C₄H₈O₂,C₄H₈O₂,I.,True,ether,ether,True
diethyl ether,CCOCC,other,,,4,74.123,C4H10O,3,1,True,CCOCC,C4H10O,C2H5OC2H5,C2H5OC2H5,I,True,ether,ether,True
formamide,NC=O,other,,,1,45.041,CH3NO,2,2,False,NC=O,CH3NO,CH₃NO,CH₃NO,J,True,amide,amide,True
glycine,NCC(O)=O,other,,,2,75.067,C2H5NO2,2,2,False,NCC(=O)O,C2H5NO2,C2H5NO2,C2H5NO2,K,True,amine,"amine,carboxylic acid",True
alanine,CC(N)C(O)=O,other,,,3,89.09399999999998,C3H7NO2,2,2,False,CC(N)C(=O)O,C3H7NO2,C₃H₇NO₂,C₃H₇NO₂,K,True,amine,"amine,carboxylic acid",True
propylene oxide,CC1CO1,other,,,3,58.08,C3H6O,3,1,True,CC1CO1,C3H6O,C₃H₆O,C₃H₆O,I.,True,ether,ether,True
adrenaline,CNCC(O)c1ccc(O)c(O)c1,other,,,9,183.207,C9H13NO3,1,1,False,CNCC(O)c1ccc(O)c(O)c1,C9H13NO3,C9H13NO3,C9H13NO3,K,True,amine,"alcohol,amine,aromatic",True
valine,CC(C)C(N)C(O)=O,other,,,5,117.14799999999998,C5H11NO2,2,2,False,CC(C)C(N)C(=O)O,C5H11NO2,C5H11NO2,C5H11NO2,K,True,amine,"amine,carboxylic acid",True
proline,OC(=O)C1CCCN1,other,,,5,115.13200000000002,C5H9NO2,2,2,False,O=C(O)C1CCCN1,C5H9NO2,C5H9NO2,C5H9NO2,K,True,amine,"amine,carboxylic acid",True
threonine,CC(O)C(N)C(O)=O,other,,,4,119.12,C4H9NO3,3,3,False,CC(O)C(N)C(=O)O,C4H9NO3,C4H9NO3,C4H9NO3,K,True,amine,"alcohol,amine,carboxylic acid",True
methionine,CSCCC(N)C(O)=O,other,,,5,149.215,C5H11NO2S,3,3,False,CSCCC(N)C(=O)O,C5H11NO2S,C5H11NO2S,C5H11NO2S,K,True,amine,"amine,carboxylic acid",True
lysine,NCCCCC(N)C(O)=O,other,,,6,146.19,C6H14N2O2,2,2,False,NCCCCC(N)C(=O)O,C6H14N2O2,C6H14N2O2,C6H14N2O2,K,True,amine,"amine,carboxylic acid",True
arginine,NC(=N)NCCCC(N)C(O)=O,other,,,6,174.204,C6H14N4O2,2,2,False,N=C(N)NCCCC(N)C(=O)O,C6H14N4O2,C6H14N4O2,C6H14N4O2,K,True,amine,"amine,carboxylic acid",True
glutamic acid,OC(=O)CCC(N)C(O)=O,other,,,5,147.13000000000002,C5H9NO4,3,1,True,NC(CCC(=O)O)C(=O)O,C5H9NO4,C₅H₉NO₄,C₅H₉NO₄,G,True,carboxylic acid,"amine,carboxylic acid",True
fructose,OCC(O)C(O)C(O)C(=O)CO,other,,,6,180.156,C6H12O6,2,2,False,O=C(CO)C(O)C(O)C(O)CO,C6H12O6,C6H12O6,C6H12O6,F,True,ketone,"alcohol,ketone",True
isoprene,CC(=C)C=C,alkene,,,5,68.11900000000001,C5H8,3,3,False,C=CC(=C)C,C5H8,C5H8,C5H8,B,True,alkene,alkene,True
butadiene,C=CC=C,alkene,,,4,54.09199999999999,C4H6,3,3,False,C=CC=C,C4H6,C4H6,C4H6,B,True,alkene,alkene,True
acetylene,C#C,alkene,,,2,26.038,C2H2,3,3,False,C#C,C2H2,C2H2,C2H2,C,True,alkyne,alkyne,True
propyne,C#CC,alkene,,,3,40.065,C3H4,2,2,False,C#CC,C3H4,C₃H₄,C₃H₄,C,True,alkyne,alkyne,True
limonene,CC(=C)C1CCC(C)=CC1,alkene,,,10,136.238,C10H16,3,3,False,C=C(C)C1CC=C(C)CC1,C10H16,C10H16,C10H16,B,True,alkene,alkene,True
pinene,CC1=CCC2CC1C2(C)C,alkene,,,10,136.238,C10H16,2,2,False,CC1=CCC2CC1C2(C)C,C10H16,C₁₀H₁₆,C₁₀H₁₆,B,True,alkene,alkene,True
