name,smiles,cls,series,series_index,n_carbons,molecular_weight,formula,n_tokens,n_tokens_final,multiword,canonical_smiles,formula_truth,formula_got,formula_raw,class_raw,formula_ok,class_picked,class_acceptable,class_ok,passed
creatine,CN(CC(O)=O)C(N)=N,amine,,,4,131.135,C4H9N3O2,2,2,False,CN(CC(=O)O)C(=N)N,C4H9N3O2,C4H9N3O2,C4H9N3O2,K,True,amine,"amine,carboxylic acid",True,True
choline,C[N+](C)(C)CCO,amine,,,5,104.173,C5H14NO+,2,2,False,C[N+](C)(C)CCO,C5H14NO+,C5H14NO2,C5H14NO2,K,False,amine,alcohol,False,False
taurine,NCCS(O)(=O)=O,amine,,,2,125.14899999999996,C2H7NO3S,3,3,False,NCCS(=O)(=O)O,C2H7NO3S,C2H7NO3S,C2H7NO3S,K,True,amine,amine,True,True
piperazine,C1CNCCN1,amine,,,4,86.138,C4H10N2,3,3,False,C1CNCCN1,C4H10N2,C4H10N2,C4H10N2,K,True,amine,amine,True,True
azepane,C1CCCNCC1,amine,,,6,99.177,C6H13N,3,3,False,C1CCCNCC1,C6H13N,C6H13N,C6H13N,K,True,amine,amine,True,True
azetidine,C1CNC1,amine,,,3,57.096,C3H7N,3,3,False,C1CNC1,C3H7N,C2H5N,C2H5N,K,False,amine,amine,True,False
aziridine,C1CN1,amine,,,2,43.069,C2H5N,3,3,False,C1CN1,C2H5N,C2H5N,C2H5N,K,True,amine,amine,True,True
guanidine,NC(N)=N,amine,,,1,59.072,CH5N3,3,3,False,N=C(N)N,CH5N3,CN5H10,CN5H10,K,False,amine,amine,True,False
tropane,CN1C2CCC1CCC2,amine,,,8,125.215,C8H15N,2,2,False,CN1C2CCCC1CC2,C8H15N,C5H11N,C5H11N,K,False,amine,amine,True,False
acetamide,CC(N)=O,amine,,,2,59.068,C2H5NO,2,2,False,CC(N)=O,C2H5NO,CH₃CONH₂,CH₃CONH₂,J,True,amide,amide,True,True
propionamide,CCC(N)=O,amine,,,3,73.09499999999998,C3H7NO,3,3,False,CCC(N)=O,C3H7NO,C2H5NO,C2H5NO,J,False,amide,amide,True,False
thiourea,NC(N)=S,amine,,,1,76.124,CH4N2S,3,3,False,NC(N)=S,CH4N2S,SC(NH2)2,SC(NH2)2,J,True,amide,amine,False,False
barbituric acid,O=C1CC(=O)NC(=O)N1,amine,,,4,128.087,C4H4N2O3,5,1,True,O=C1CC(=O)NC(=O)N1,C4H4N2O3,C4H4N2O3,C4H4N2O3,J,True,amide,amide,True,True
uric acid,O=C1NC2=C(N1)C(=O)NC(=O)N2,amine,,,5,168.112,C5H4N4O3,3,1,True,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,C5H4N4O3,C5H4N4O3,C5H4N4O3,L,True,aromatic,aromatic,True,True
benzene,c1ccccc1,aromatic,,,6,78.11399999999999,C6H6,2,2,False,c1ccccc1,C6H6,C6H6,C6H6,L,True,aromatic,aromatic,True,True
toluene,Cc1ccccc1,aromatic,,,7,92.141,C7H8,3,3,False,Cc1ccccc1,C7H8,C₇H₈,C₇H₈,L,True,aromatic,aromatic,True,True
xylene,Cc1ccccc1C,aromatic,,,8,106.168,C8H10,2,2,False,Cc1ccccc1C,C8H10,C₆H₄(CH₃)₂,C₆H₄(CH₃)₂,L,True,aromatic,aromatic,True,True
styrene,C=Cc1ccccc1,aromatic,,,8,104.15199999999996,C8H8,2,2,False,C=Cc1ccccc1,C8H8,C₆H₅CH=CH₂,C₆H₅CH=CH₂,B,True,alkene,"alkene,aromatic",True,True
anthracene,c1ccc2cc3ccccc3cc2c1,aromatic,,,14,178.23399999999995,C14H10,3,3,False,c1ccc2cc3ccccc3cc2c1,C14H10,C14H10,C14H10,L,True,aromatic,aromatic,True,True
phenanthrene,c1ccc2c(c1)ccc1ccccc12,aromatic,,,14,178.23399999999998,C14H10,3,3,False,c1ccc2c(c1)ccc1ccccc12,C14H10,C14H10,C14H10,L,True,aromatic,aromatic,True,True
phenol,Oc1ccccc1,aromatic,,,6,94.113,C6H6O,2,2,False,Oc1ccccc1,C6H6O,C6H5OH,C6H5OH,L,True,aromatic,"alcohol,aromatic",True,True
cresol,Cc1ccc(O)cc1,aromatic,,,7,108.14,C7H8O,2,2,False,Cc1ccc(O)cc1,C7H8O,C6H5OH,C6H5OH,D,False,alcohol,"alcohol,aromatic",True,False
catechol,Oc1ccccc1O,aromatic,,,6,110.11199999999998,C6H6O2,3,3,False,Oc1ccccc1O,C6H6O2,C6H4(OH)2,C6H4(OH)2,L,True,aromatic,"alcohol,aromatic",True,True
hydroquinone,Oc1ccc(O)cc1,aromatic,,,6,110.11199999999998,C6H6O2,3,3,False,Oc1ccc(O)cc1,C6H6O2,C6H4(OH)2,C6H4(OH)2,L,True,aromatic,"alcohol,aromatic",True,True
benzoic acid,OC(=O)c1ccccc1,aromatic,,,7,122.12299999999996,C7H6O2,4,1,True,O=C(O)c1ccccc1,C7H6O2,C7H6O2,C7H6O2,G,True,carboxylic acid,"aromatic,carboxylic acid",True,True
salicylic acid,OC(=O)c1ccccc1O,aromatic,,,7,138.122,C7H6O3,4,1,True,O=C(O)c1ccccc1O,C7H6O3,C7H6O3,C7H6O3,G,True,carboxylic acid,"alcohol,aromatic,carboxylic acid",True,True
aspirin,CC(=O)Oc1ccccc1C(O)=O,aromatic,,,9,180.159,C9H8O4,2,2,False,CC(=O)Oc1ccccc1C(=O)O,C9H8O4,C9H8O4,C9H8O4,G,True,carboxylic acid,"aromatic,carboxylic acid,ester",True,True
mesitylene,Cc1cc(C)cc(C)c1,aromatic,,,9,120.19499999999998,C9H12,3,3,False,Cc1cc(C)cc(C)c1,C9H12,C₉H₁₂,C₉H₁₂,L,True,aromatic,aromatic,True,True
cumene,CC(C)c1ccccc1,aromatic,,,9,120.19499999999996,C9H12,2,2,False,CC(C)c1ccccc1,C9H12,C₆H₅CH(CH₃)₂,C₆H₅CH(CH₃)₂,L,True,aromatic,aromatic,True,True
biphenyl,c1ccc(-c2ccccc2)cc1,aromatic,,,12,154.21199999999996,C12H10,3,3,False,c1ccc(-c2ccccc2)cc1,C12H10,C12H10,C12H10,L,True,aromatic,aromatic,True,True
indole,c1ccc2[nH]ccc2c1,aromatic,,,8,117.15099999999995,C8H7N,2,2,False,c1ccc2[nH]ccc2c1,C8H7N,C8H7N,C8H7N,L,True,aromatic,aromatic,True,True
quinoline,c1ccc2ncccc2c1,aromatic,,,9,129.16199999999998,C9H7N,3,3,False,c1ccc2ncccc2c1,C9H7N,C₉H₇N,C₉H₇N,L,True,aromatic,"amine,aromatic",True,True
pyridine,c1ccncc1,aromatic,,,5,79.10199999999998,C5H5N,3,3,False,c1ccncc1,C5H5N,C5H5N,C5H5N,K,True,amine,"amine,aromatic",True,True
furan,c1ccoc1,aromatic,,,4,68.07499999999999,C4H4O,2,2,False,c1ccoc1,C4H4O,C4H4O,C4H4O,L,True,aromatic,aromatic,True,True
thiophene,c1ccsc1,aromatic,,,4,84.14299999999999,C4H4S,3,3,False,c1ccsc1,C4H4S,C₄H₄S,C₄H₄S,L,True,aromatic,aromatic,True,True
pyrrole,c1cc[nH]c1,aromatic,,,4,67.091,C4H5N,3,3,False,c1cc[nH]c1,C4H5N,C4H5N,C4H5N,L,True,aromatic,aromatic,True,True
imidazole,c1c[nH]cn1,aromatic,,,3,68.079,C3H4N2,3,3,False,c1c[nH]cn1,C3H4N2,C3H4N2,C3H4N2,K,True,amine,"amine,aromatic",True,True
pyrimidine,c1cncnc1,aromatic,,,4,80.08999999999999,C4H4N2,3,3,False,c1cncnc1,C4H4N2,C4H4N2,C4H4N2,L,True,aromatic,"amine,aromatic",True,True
pyrazine,c1cnccn1,aromatic,,,4,80.09,C4H4N2,3,3,False,c1cnccn1,C4H4N2,C4H4N2,C4H4N2,L,True,aromatic,"amine,aromatic",True,True
purine,c1ncc2[nH]cnc2n1,aromatic,,,5,120.115,C5H4N4,2,2,False,c1ncc2[nH]cnc2n1,C5H4N4,C5H4N4,C5H4N4,L,True,aromatic,"amine,aromatic",True,True
uracil,O=c1cc[nH]c(=O)[nH]1,aromatic,,,4,112.088,C4H4N2O2,3,3,False,O=c1cc[nH]c(=O)[nH]1,C4H4N2O2,C4H4N2O2,C4H4N2O2,J,True,amide,aromatic,False,False
thymine,Cc1c[nH]c(=O)[nH]c1=O,aromatic,,,5,126.115,C5H6N2O2,3,3,False,Cc1c[nH]c(=O)[nH]c1=O,C5H6N2O2,C5H6N2O2,C5H6N2O2,K,True,amine,aromatic,False,False
thymol,Cc1ccc(C(C)C)cc1O,aromatic,,,10,150.221,C10H14O,3,3,False,Cc1ccc(C(C)C)cc1O,C10H14O,C10H14O,C10H14O,L,True,aromatic,"alcohol,aromatic",True,True
eugenol,C=CCc1ccc(O)c(OC)c1,aromatic,,,10,164.20399999999995,C10H12O2,3,3,False,C=CCc1ccc(O)c(OC)c1,C10H12O2,C10H12O2,C10H12O2,L,True,aromatic,"alcohol,alkene,aromatic,ether",True,True
niacin,OC(=O)c1cccnc1,aromatic,,,6,123.11099999999998,C6H5NO2,2,2,False,O=C(O)c1cccnc1,C6H5NO2,C6H5NO2,C6H5NO2,K,True,amine,"amine,aromatic,carboxylic acid",True,True
melatonin,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,aromatic,,,13,232.283,C13H16N2O2,2,2,False,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,C13H16N2O2,C13H16N2O2,C13H16N2O2,K,True,amine,"amide,aromatic,ether",False,False
tyrosine,NC(Cc1ccc(O)cc1)C(O)=O,aromatic,,,9,181.191,C9H11NO3,3,3,False,NC(Cc1ccc(O)cc1)C(=O)O,C9H11NO3,C9H11NO3,C9H11NO3,L,True,aromatic,"alcohol,amine,aromatic,carboxylic acid",True,True
histidine,NC(Cc1c[nH]cn1)C(O)=O,aromatic,,,6,155.15699999999998,C6H9N3O2,2,2,False,NC(Cc1c[nH]cn1)C(=O)O,C6H9N3O2,C6H9N3O2,C6H9N3O2,K,True,amine,"amine,aromatic,carboxylic acid",True,True
anisole,COc1ccccc1,aromatic,,,7,108.13999999999996,C7H8O,3,3,False,COc1ccccc1,C7H8O,C₇H₈O,C₇H₈O,I,True,ether,"aromatic,ether",True,True
veratrole,COc1ccccc1OC,aromatic,,,8,138.16599999999997,C8H10O2,3,3,False,COc1ccccc1OC,C8H10O2,C8H9O,C8H9O,L,False,aromatic,"aromatic,ether",True,False
phenetole,CCOc1ccccc1,aromatic,,,8,122.16699999999996,C8H10O,3,3,False,CCOc1ccccc1,C8H10O,C6H5OC2H5,C6H5OC2H5,I,True,ether,"aromatic,ether",True,True
stilbene,c1ccc(/C=C/c2ccccc2)cc1,aromatic,,,14,180.25,C14H12,3,3,False,C(=C\c1ccccc1)/c1ccccc1,C14H12,C14H12,C14H12,L,True,aromatic,"alkene,aromatic",True,True
fluorene,c1ccc2c(c1)Cc1ccccc1-2,aromatic,,,13,166.22299999999998,C13H10,3,3,False,c1ccc2c(c1)Cc1ccccc1-2,C13H10,C13H10,C13H10,L,True,aromatic,aromatic,True,True
pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,aromatic,,,16,202.256,C16H10,2,2,False,c1cc2ccc3cccc4ccc(c1)c2c34,C16H10,C16H10,C16H10,L,True,aromatic,aromatic,True,True
indene,C1C=Cc2ccccc21,aromatic,,,9,116.16299999999995,C9H8,2,2,False,C1=Cc2ccccc2C1,C9H8,C8H8,C8H8,L,False,aromatic,"alkene,aromatic",True,False
tetralin,c1ccc2c(c1)CCCC2,aromatic,,,10,132.206,C10H12,3,3,False,c1ccc2c(c1)CCCC2,C10H12,C10H14,C10H14,L,False,aromatic,aromatic,True,False
benzofuran,c1ccc2occc2c1,aromatic,,,8,118.13499999999996,C8H6O,3,3,False,c1ccc2occc2c1,C8H6O,C6H4O,C6H4O,L,False,aromatic,aromatic,True,False
carbazole,c1ccc2c(c1)[nH]c1ccccc12,aromatic,,,12,167.21099999999998,C12H9N,2,2,False,c1ccc2c(c1)[nH]c1ccccc12,C12H9N,C12H9N,C12H9N,L,True,aromatic,aromatic,True,True
acridine,c1ccc2nc3ccccc3cc2c1,aromatic,,,13,179.22199999999998,C13H9N,3,3,False,c1ccc2nc3ccccc3cc2c1,C13H9N,C13H9N3,C13H9N3,L,False,aromatic,"amine,aromatic",True,False
xanthene,C1c2ccccc2Oc2ccccc21,aromatic,,,13,182.222,C13H10O,3,3,False,c1ccc2c(c1)Cc1ccccc1O2,C13H10O,C12H8,C12H8,L,False,aromatic,"aromatic,ether",True,False
coumarin,O=c1ccc2ccccc2o1,aromatic,,,9,146.14499999999998,C9H6O2,3,3,False,O=c1ccc2ccccc2o1,C9H6O2,C9H6O2,C9H6O2,L,True,aromatic,aromatic,True,True
chromone,O=c1ccoc2ccccc12,aromatic,,,9,146.14499999999998,C9H6O2,2,2,False,O=c1ccoc2ccccc12,C9H6O2,C9H6O2,C9H6O2,L,True,aromatic,aromatic,True,True
flavone,O=c1cc(-c2ccccc2)oc2ccccc12,aromatic,,,15,222.243,C15H10O2,2,2,False,O=c1cc(-c2ccccc2)oc2ccccc12,C15H10O2,C15H10O2,C15H10O2,L,True,aromatic,aromatic,True,True
isatin,O=C1Nc2ccccc2C1=O,aromatic,,,8,147.13299999999995,C8H5NO2,2,2,False,O=C1Nc2ccccc2C1=O,C8H5NO2,C8H5NO2,C8H5NO2,J,True,amide,"amide,aromatic,ketone",True,True
oxindole,O=C1Cc2ccccc2N1,aromatic,,,8,133.14999999999998,C8H7NO,3,3,False,O=C1Cc2ccccc2N1,C8H7NO,C8H7N,C8H7N,J,False,amide,"amide,aromatic",True,False
indoline,C1Cc2ccccc2N1,aromatic,,,8,119.16699999999996,C8H9N,2,2,False,c1ccc2c(c1)CCN2,C8H9N,C6H7N,C6H7N,K,False,amine,"amine,aromatic",True,False
styrene oxide,C1OC1c1ccccc1,aromatic,,,8,120.15099999999995,C8H8O,3,1,True,c1ccc(C2CO2)cc1,C8H8O,C6H8O,C6H8O,L,False,aromatic,"aromatic,ether",True,False
benzamide,NC(=O)c1ccccc1,aromatic,,,7,121.13899999999995,C7H7NO,2,2,False,NC(=O)c1ccccc1,C7H7NO,C7H7NO,C7H7NO,J,True,amide,"amide,aromatic",True,True
chloroform,ClC(Cl)Cl,halide,,,1,119.378,CHCl3,3,3,False,ClC(Cl)Cl,CHCl3,CHCl₃,CHCl₃,M,True,halide,halide,True,True
vinyl chloride,C=CCl,halide,,,2,62.499,C2H3Cl,2,1,True,C=CCl,C2H3Cl,C2H3Cl,C2H3Cl,B,True,alkene,"alkene,halide",True,True
allyl chloride,C=CCCl,halide,,,3,76.526,C3H5Cl,3,1,True,C=CCCl,C3H5Cl,C3H5Cl,C3H5Cl,M,True,halide,"alkene,halide",True,True
benzyl chloride,ClCc1ccccc1,halide,,,7,126.58599999999996,C7H7Cl,3,1,True,ClCc1ccccc1,C7H7Cl,C6H5CH2Cl,C6H5CH2Cl,M,True,halide,"aromatic,halide",True,True
methylene chloride,ClCCl,halide,,,1,84.93299999999999,CH2Cl2,3,1,True,ClCCl,CH2Cl2,CH2Cl2,CH2Cl2,M,True,halide,halide,True,True
bromoform,BrC(Br)Br,halide,,,1,252.731,CHBr3,3,3,False,BrC(Br)Br,CHBr3,CHBr₃,CHBr₃,M,True,halide,halide,True,True
iodoform,IC(I)I,halide,,,1,393.731,CHI3,3,3,False,IC(I)I,CHI3,CHI3,CHI3,M,True,halide,halide,True,True
halothane,FC(F)(F)C(Cl)Br,halide,,,2,197.381,C2HBrClF3,3,3,False,FC(F)(F)C(Cl)Br,C2HBrClF3,CHBr₂ClCF₃,CHBr₂ClCF₃,M,False,halide,halide,True,False
oxalic acid,OC(=O)C(O)=O,carboxylic_acid,,,2,90.03399999999999,C2H2O4,3,1,True,O=C(O)C(=O)O,C2H2O4,C2H2O4,C2H2O4,G,True,carboxylic acid,carboxylic acid,True,True
malonic acid,OC(=O)CC(O)=O,carboxylic_acid,,,3,104.061,C3H4O4,3,1,True,O=C(O)CC(=O)O,C3H4O4,C3H4O3,C3H4O3,G,False,carboxylic acid,carboxylic acid,True,False
succinic acid,OC(=O)CCC(O)=O,carboxylic_acid,,,4,118.088,C4H6O4,3,1,True,O=C(O)CCC(=O)O,C4H6O4,C4H6O4,C4H6O4,G,True,carboxylic acid,carboxylic acid,True,True
glutaric acid,OC(=O)CCCC(O)=O,carboxylic_acid,,,5,132.115,C5H8O4,4,1,True,O=C(O)CCCC(=O)O,C5H8O4,C5H8O4,C5H8O4,G,True,carboxylic acid,carboxylic acid,True,True
adipic acid,OC(=O)CCCCC(O)=O,carboxylic_acid,,,6,146.14200000000002,C6H10O4,3,1,True,O=C(O)CCCCC(=O)O,C6H10O4,C6H10O4,C6H10O4,G,True,carboxylic acid,carboxylic acid,True,True
lactic acid,CC(O)C(O)=O,carboxylic_acid,,,3,90.078,C3H6O3,3,1,True,CC(O)C(=O)O,C3H6O3,C3H6O3,C3H6O3,G,True,carboxylic acid,"alcohol,carboxylic acid",True,True
citric acid,OC(=O)CC(O)(CC(O)=O)C(O)=O,carboxylic_acid,,,6,192.123,C6H8O7,3,1,True,O=C(O)CC(O)(CC(=O)O)C(=O)O,C6H8O7,C6H8O7,C6H8O7,G,True,carboxylic acid,"alcohol,carboxylic acid",True,True
malic acid,OC(=O)CC(O)C(O)=O,carboxylic_acid,,,4,134.087,C4H6O5,3,1,True,O=C(O)CC(O)C(=O)O,C4H6O5,C4H6O5,C4H6O5,G,True,carboxylic acid,"alcohol,carboxylic acid",True,True
tartaric acid,OC(=O)C(O)C(O)C(O)=O,carboxylic_acid,,,4,150.08599999999998,C4H6O6,4,1,True,O=C(O)C(O)C(O)C(=O)O,C4H6O6,C4H6O6,C4H6O6,G,True,carboxylic acid,"alcohol,carboxylic acid",True,True
acrylic acid,C=CC(O)=O,carboxylic_acid,,,3,72.063,C3H4O2,2,1,True,C=CC(=O)O,C3H4O2,C3H4O2,C3H4O2,G,True,carboxylic acid,"alkene,carboxylic acid",True,True
oleic acid,CCCCCCCCC=CCCCCCCCC(O)=O,carboxylic_acid,,,18,282.4679999999999,C18H34O2,3,1,True,CCCCCCCCC=CCCCCCCCC(=O)O,C18H34O2,C18H34O2,C18H34O2,G,True,carboxylic acid,"alkene,carboxylic acid",True,True
stearic acid,CCCCCCCCCCCCCCCCCC(O)=O,carboxylic_acid,,,18,284.4839999999999,C18H36O2,4,1,True,CCCCCCCCCCCCCCCCCC(=O)O,C18H36O2,C₁₇H₃₆O₂,C₁₇H₃₆O₂,G,False,carboxylic acid,carboxylic acid,True,False
palmitic acid,CCCCCCCCCCCCCCCC(O)=O,carboxylic_acid,,,16,256.42999999999995,C16H32O2,4,1,True,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,C16H32O2,C16H32O2,G,True,carboxylic acid,carboxylic acid,True,True
lauric acid,CCCCCCCCCCCC(O)=O,carboxylic_acid,,,12,200.322,C12H24O2,4,1,True,CCCCCCCCCCCC(=O)O,C12H24O2,C12H24O2,C12H24O2,G,True,carboxylic acid,carboxylic acid,True,True
myristic acid,CCCCCCCCCCCCCC(O)=O,carboxylic_acid,,,14,228.37599999999995,C14H28O2,4,1,True,CCCCCCCCCCCCCC(=O)O,C14H28O2,C14H28O2,C14H28O2,G,True,carboxylic acid,carboxylic acid,True,True
glycolic acid,OCC(O)=O,carboxylic_acid,,,2,76.051,C2H4O3,4,1,True,O=C(O)CO,C2H4O3,C2H4O3,C2H4O3,G,True,carboxylic acid,"alcohol,carboxylic acid",True,True
pyruvic acid,CC(=O)C(O)=O,carboxylic_acid,,,3,88.06199999999998,C3H4O3,4,1,True,CC(=O)C(=O)O,C3H4O3,C3H4O3,C3H4O3,G,True,carboxylic acid,carboxylic acid,True,True
fumaric acid,OC(=O)/C=C/C(O)=O,carboxylic_acid,,,4,116.072,C4H4O4,4,1,True,O=C(O)/C=C/C(=O)O,C4H4O4,C4H4O4,C4H4O4,G,True,carboxylic acid,"alkene,carboxylic acid",True,True
mandelic acid,OC(c1ccccc1)C(O)=O,carboxylic_acid,,,8,152.14899999999997,C8H8O3,3,1,True,O=C(O)C(O)c1ccccc1,C8H8O3,C7H8O3,C7H8O3,G,False,carboxylic acid,"alcohol,aromatic,carboxylic acid",True,False
benzilic acid,OC(c1ccccc1)(c1ccccc1)C(O)=O,carboxylic_acid,,,14,228.247,C14H12O3,4,1,True,O=C(O)C(O)(c1ccccc1)c1ccccc1,C14H12O3,C6H6O4,C6H6O4,L,False,aromatic,"alcohol,aromatic,carboxylic acid",True,False
cinnamic acid,OC(=O)/C=C/c1ccccc1,carboxylic_acid,,,9,148.161,C9H8O2,4,1,True,O=C(O)/C=C/c1ccccc1,C9H8O2,C9H8O2,C9H8O2,G,True,carboxylic acid,"alkene,aromatic,carboxylic acid",True,True
phthalic acid,OC(=O)c1ccccc1C(O)=O,carboxylic_acid,,,8,166.13199999999998,C8H6O4,4,1,True,O=C(O)c1ccccc1C(=O)O,C8H6O4,C8H6O4,C8H6O4,G,True,carboxylic acid,"aromatic,carboxylic acid",True,True
isophthalic acid,OC(=O)c1cccc(C(O)=O)c1,carboxylic_acid,,,8,166.13199999999998,C8H6O4,5,1,True,O=C(O)c1cccc(C(=O)O)c1,C8H6O4,C8H6O4,C8H6O4,G,True,carboxylic acid,"aromatic,carboxylic acid",True,True
gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,carboxylic_acid,,,7,170.11999999999998,C7H6O5,3,1,True,O=C(O)c1cc(O)c(O)c(O)c1,C7H6O5,C7H6O5,C7H6O5,G,True,carboxylic acid,"alcohol,aromatic,carboxylic acid",True,True
caffeic acid,OC(=O)/C=C/c1ccc(O)c(O)c1,carboxylic_acid,,,9,180.159,C9H8O4,3,1,True,O=C(O)/C=C/c1ccc(O)c(O)c1,C9H8O4,C7H6O4,C7H6O4,G,False,carboxylic acid,"alcohol,alkene,aromatic,carboxylic acid",True,False
ferulic acid,COc1cc(/C=C/C(O)=O)ccc1O,carboxylic_acid,,,10,194.186,C10H10O4,4,1,True,COc1cc(/C=C/C(=O)O)ccc1O,C10H10O4,C10H10O4,C10H10O4,G,True,carboxylic acid,"alcohol,alkene,aromatic,carboxylic acid,ether",True,True
sinapic acid,COc1cc(/C=C/C(O)=O)cc(OC)c1O,carboxylic_acid,,,11,224.212,C11H12O5,4,1,True,COc1cc(/C=C/C(=O)O)cc(OC)c1O,C11H12O5,C10H10O5,C10H10O5,G,False,carboxylic acid,"alcohol,alkene,aromatic,carboxylic acid,ether",True,False
itaconic acid,OC(=O)CC(=C)C(O)=O,carboxylic_acid,,,5,130.099,C5H6O4,4,1,True,C=C(CC(=O)O)C(=O)O,C5H6O4,C5H6O5,C5H6O5,G,False,carboxylic acid,"alkene,carboxylic acid",True,False
sorbic acid,CC=CC=CC(O)=O,carboxylic_acid,,,6,112.128,C6H8O2,3,1,True,CC=CC=CC(=O)O,C6H8O2,C₄H₆O₃,C₄H₆O₃,G,False,carboxylic acid,"alkene,carboxylic acid",True,False
levulinic acid,CC(=O)CCC(O)=O,carboxylic_acid,,,5,116.116,C5H8O3,4,1,True,CC(=O)CCC(=O)O,C5H8O3,C5H8O3,C5H8O3,G,True,carboxylic acid,carboxylic acid,True,True
azelaic acid,OC(=O)CCCCCCCC(O)=O,carboxylic_acid,,,9,188.223,C9H16O4,4,1,True,O=C(O)CCCCCCCC(=O)O,C9H16O4,C9H16O4,C9H16O4,G,True,carboxylic acid,carboxylic acid,True,True
sebacic acid,OC(=O)CCCCCCCCC(O)=O,carboxylic_acid,,,10,202.25,C10H18O4,4,1,True,O=C(O)CCCCCCCCC(=O)O,C10H18O4,C10H18O4,C10H18O4,G,True,carboxylic acid,carboxylic acid,True,True
pimelic acid,OC(=O)CCCCCC(O)=O,carboxylic_acid,,,7,160.169,C7H12O4,4,1,True,O=C(O)CCCCCC(=O)O,C7H12O4,C6H10O4,C6H10O4,G,False,carboxylic acid,carboxylic acid,True,False
suberic acid,OC(=O)CCCCCCC(O)=O,carboxylic_acid,,,8,174.196,C8H14O4,3,1,True,O=C(O)CCCCCCC(=O)O,C8H14O4,C8H14O4,C8H14O4,G,True,carboxylic acid,carboxylic acid,True,True
linoleic acid,CCCCCC=CCC=CCCCCCCCC(O)=O,carboxylic_acid,,,18,280.4519999999999,C18H32O2,4,1,True,CCCCCC=CCC=CCCCCCCCC(=O)O,C18H32O2,C₁₇H₃₃O₂,C₁₇H₃₃O₂,B,False,alkene,"alkene,carboxylic acid",True,False
linolenic acid,CCC=CCC=CCC=CCCCCCCCC(O)=O,carboxylic_acid,,,18,278.4359999999999,C18H30O2,4,1,True,CCC=CCC=CCC=CCCCCCCCC(=O)O,C18H30O2,C₁₇H₂₉O₂,C₁₇H₂₉O₂,B,False,alkene,"alkene,carboxylic acid",True,False
behenic acid,CCCCCCCCCCCCCCCCCCCCCC(O)=O,carboxylic_acid,,,22,340.59200000000004,C22H44O2,3,1,True,CCCCCCCCCCCCCCCCCCCCCC(=O)O,C22H44O2,C21H40O2,C21H40O2,G,False,carboxylic acid,carboxylic acid,True,False
erucic acid,CCCCCCCCC=CCCCCCCCCCCCC(O)=O,carboxylic_acid,,,22,338.5760000000001,C22H42O2,4,1,True,CCCCCCCCC=CCCCCCCCCCCCC(=O)O,C22H42O2,C19H34O2,C19H34O2,G,False,carboxylic acid,"alkene,carboxylic acid",True,False
orotic acid,OC(=O)c1cc(=O)[nH]c(=O)[nH]1,carboxylic_acid,,,5,156.097,C5H4N2O4,3,1,True,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,C5H4N2O4,C5H4N2O4,C5H4N2O4,G,True,carboxylic acid,"aromatic,carboxylic acid",True,True
kojic acid,OCC1=CC(=O)C(O)=CO1,carboxylic_acid,,,6,142.11,C6H6O4,4,1,True,O=c1cc(CO)occ1O,C6H6O4,C6H6O3,C6H6O3,G,False,carboxylic acid,"alcohol,aromatic",False,False
water,O,inorganic,,,0,18.015,H2O,1,1,False,O,H2O,H2O,H2O,D,True,alcohol,inorganic,False,False
ammonia,N,inorganic,,,0,17.031,H3N,1,1,False,N,H3N,NH3,NH3,K,True,amine,inorganic,False,False
carbon dioxide,O=C=O,inorganic,,,1,44.009,CO2,2,1,True,O=C=O,CO2,CO2,CO2,N,True,inorganic,inorganic,True,True
carbon monoxide,[C-]#[O+],inorganic,,,1,28.01,CO,3,2,True,[C-]#[O+],CO,CO,CO,N,True,inorganic,inorganic,True,True
sodium chloride,[Na+].[Cl-],inorganic,,,0,58.443,ClNa,2,1,True,[Cl-].[Na+],ClNa,NaCl,NaCl,M,True,halide,inorganic,False,False
sulfuric acid,OS(=O)(=O)O,inorganic,,,0,98.07899999999998,H2O4S,3,1,True,O=S(=O)(O)O,H2O4S,H2SO4,H2SO4,N,True,inorganic,inorganic,True,True
nitric acid,O[N+](=O)[O-],inorganic,,,0,63.01200000000001,HNO3,3,1,True,O=[N+]([O-])O,HNO3,HNO3,HNO3,G,True,carboxylic acid,inorganic,False,False
hydrochloric acid,Cl,inorganic,,,0,36.461000000000006,HCl,4,1,True,Cl,HCl,HCl,HCl,M,True,halide,inorganic,False,False
potassium chloride,[K+].[Cl-],inorganic,,,0,74.551,ClK,2,1,True,[Cl-].[K+],ClK,KCl,KCl,M,True,halide,inorganic,False,False
hydrogen peroxide,OO,inorganic,,,0,34.014,H2O2,3,2,True,OO,H2O2,H2O2,H2O2,N,True,inorganic,inorganic,True,True
ozone,[O-][O+]=O,inorganic,,,0,47.997,O3,1,1,False,O=[O+][O-],O3,O3,O3,N,True,inorganic,inorganic,True,True
sulfur dioxide,O=S=O,inorganic,,,0,64.065,O2S,2,1,True,O=S=O,O2S,SO2,SO2,N,True,inorganic,inorganic,True,True
